dbn,district,school_dist,school_name,building_id,swd,ell,poverty,location_category_description,grades_text,longitude,latitude,borough_code,counts,opend_year
11X249,11,11,Bronx Health Sciences High School,X455,0.108,0.038,0.794,High school,"09,10,11,12,SE",-73.831669,40.874035,X,2,2004
11X253,11,11,Bronx High School for Writing and Communication Arts,X425,0.229,0.153,0.787,High school,"09,10,11,12,SE",-73.861649,40.875172,X,6,2004
11X265,11,11,Bronx Lab School,X425,0.265,0.163,0.869,High school,"09,10,11,12,SE",-73.861649,40.875172,X,6,2004
11X270,11,11,Academy for Scholarship and Entrepreneurship: A College Board School,X362,0.196,0.058,0.777,High school,"09,10,11,12,SE",-73.852714,40.888242,X,3,2005
11X275,11,11,High School of Computers and Technology,X425,0.249,0.09,0.779,High school,"09,10,11,12,SE",-73.861649,40.875172,X,6,2004
11X287,11,11,North Bronx School of Empowerment,X113,0.253,0.158,0.873,Junior High-Intermediate-Middle,"06,07,08,SE",-73.860126,40.880649,X,2,2005
11X288,11,11,Collegiate Institute for Math and Science,X415,0.163,0.032,0.742,High school,"09,10,11,12,SE",-73.860729,40.860443,X,5,2004
11X290,11,11,Bronx Academy of Health Careers,X425,0.206,0.106,0.83,High school,"09,10,11,12,SE",-73.861649,40.875172,X,6,2004
11X299,11,11,Astor Collegiate Academy,X415,0.207,0.075,0.81,High school,"09,10,11,12,SE",-73.860729,40.860443,X,5,2004
11X326,11,11,Bronx Green Middle School,X135,0.195,0.19,0.911,Junior High-Intermediate-Middle,"06,07,08,SE",-73.865028,40.862098,X,3,2006
11X355,11,11,Bronx Alliance Middle School,X142,0.262,0.038,0.85,Junior High-Intermediate-Middle,"06,07,08,SE",-73.839682,40.886002,X,3,2013
11X370,11,11,Leaders of Tomorrow,X113,0.296,0.138,0.836,Junior High-Intermediate-Middle,"06,07,08,SE",-73.860126,40.880649,X,2,2007
11X418,11,11,Bronx High School for the Visual Arts,X839,0.291,0.05,0.795,High school,"09,10,11,12,SE",-73.864438,40.851577,X,1,2001
11X455,11,11,Harry S Truman High School,X455,0.239,0.073,0.748,High school,"09,10,11,12,SE",-73.831669,40.874035,X,2,1973
11X462,11,11,Cornerstone Academy for Social Action Middle School (CASA),X189,0.198,0.028,0.794,Junior High-Intermediate-Middle,"06,07,08,SE",-73.830616,40.882778,X,2,2009
11X468,11,11,Pelham Academy of Academics and Community Engagement,X135,0.231,0.157,0.883,Junior High-Intermediate-Middle,"06,07,08,SE",-73.865028,40.862098,X,3,2009
11X481,11,11,The STEAM Bridge School,X311,0.165,0.262,0.884,Elementary,"0K,01,02,03,04,SE",-73.865498,40.843531,X,2,2015
11X483,11,11,The Matilda Avenue School,X314,0.136,0.052,0.878,Elementary,"0K,01,02,03,04,SE",-73.854402,40.901436,X,1,2015
11X498,11,11,P.S./M.S. 11X498 - Van Nest Academy,X498,0.201,0.081,0.768,K-8,"0K,01,02,03,04,05,06,07,08,SE",-73.857989,40.845023,X,2,2010
11X508,11,11,Bronxdale High School,X415,0.239,0.071,0.895,High school,"09,10,11,12,SE",-73.860729,40.860443,X,5,2011
11X509,11,11,High School of Language and Innovation,X415,0.044,0.803,0.94,High school,"09,10,11,12",-73.860729,40.860443,X,5,2011
11X513,11,11,New World High School,X362,0.068,0.668,0.945,High school,"09,10,11,12,SE",-73.852714,40.888242,X,3,2004
